Skill,Relationship_1,Relationship_2,Relationship_3
Aplus,Network+,Field service,Repair
A%26%2347B+testing,Adobe Target,Multivariate testing,Adobe SiteCatalyst
ACAPS,CACS,Hogan,Assembly language
ACD,PBX,Voicemail,Avaya PBX
ACF2,RACF,NASCO,Job Entry Subsystem 2/3
ACH,Web browsers,Payments,NACHA
ACL,IPsec,SDTM,MedDRA
ACMT,Microsoft Entourage,Apple,OS X
ACORD,Policy administration,Insurance,Property & casualty insurance
ACS,Cisco ASC,TACACS,HSC
ACS+Systech+Integrator,,,
ACSLS,NetBackup,Data domain,NDMP
ACT,WAIK,Compatibility testing,MDT
ADA,WCAG,Accessibility,Section 508
ADABAS,NATURAL,EntireX,Assembly language
ADDIE,Instructional design,Andragogy,Adobe Captivate
ADDM,Configuration management database,BMC Remedy,BPPM
ADF,Oracle ADF,Oracle WebCenter,JDeveloper
ADFS,Windows Identity Foundation,WIF,SAML
ADINA,,,
ADMT,Quest Migration Manager,Active Directory,Quest
ADO,ADO.NET,OLE DB,ASP
ADO.NET,ASP.NET,ADO,WCF
ADP,,,
ADP+Payroll,HR management system,Payroll,HR management system administration
ADS,Astrodynamics,STK,HFSS
ADSL,PPP,ATM,Frame Relay
ADSO,IDMS,CAS,Panvalet
ADTRAN,Passive optical network,DSLAM,FTTX
AERS,Argus,RDC,Oracle Clinical
AET,SAP EEWB,SAP CRM,CRM WebClient UI
AFATDS,CBT,C4ISR,TOC
AFDX,,,
AFM,F5,GTM,Microscope
AFS,,,
AGIS,Oracle Web ADI,Oracle Forms,Oracle Designer
AHLTA,CHCS,Tier 2,Tuxedo
AIA,,,
AIM,Oracle EBS,Oracle Applications,EBS
ALE,IDoc,BAPI,SAP BADI
ALM,,,
AMBA,Specman,SVA,SystemC
AME,Oracle EBS,OAB,Oracle Application Framework
AML,Know your customer,MANTAS,OFAC
AMPL,,,
AMQP,SBS,LXC,Message queues
ANCILE+uPerform,,,
ANOVA+gauge+R%26R,GD&T;,PPAP,Inspection
ANSI,Earned value management,EVMS,Electrical engineering
ANSI+C,JOBTRAC,Socket programming,Aviation
ANTLR,Computational linguistics,Natural language processing,Information retrieval
AOP,,,
AP+Stylebook,Copywriting,Journalism,Copy editing
APD,,,
APEX,Visualforce,Force.com,Salesforce.com
API,RESTful,JSON,API management
API+QA,TestNG,GUI QA,Test suites
API+management,API,Epiphany,RESTful
APICS,Supply chain management,Supply chain planning,Demand planning
APL,Applied physics,TDR,KDB
APQP,PPAP,ISO 14000,ANOVA gauge R&R;
AQT,PROC SQL,SAS/ETS,Flat file
ARINC,ARINC 429,Avionics,DO-254
ARINC+424,,,
ARINC+429,ARINC,Avionics,DO-254
ARINC+573,,,
ARINC+653,,,
ARINC+661,,,
ARINC+818,,,
ARINC+825,,,
ARINC+826,,,
ARINC+828,,,
ARIS,CDP,Process modeling,SIPOC
ARM,MIPS architecture,Embedded systems,PowerPC
ARM+Assembler,,,
ARM+architecture,Green Hills,IPMI,Computer architecture
ARP4754,,,
ARP4761,,,
AS%26%2347400+Control+Language,Counterintelligence,IBM RPG,SQLRPGLE
AS2,GXS,EDI,VAN
AS3,Adobe Flash,ActionScript,Adobe Flash Builder
AS9100,QMS,Corrective and preventive action,ISO 9000
ASA,Cisco PIX,Cisco FWSM,Nexus
ASAP+Methodology,SPO,SAP implementation,SPRO
ASC+X12,Medicaid,Health care,Medicare
ASCP,GOP,Demantra,Oracle ASCP
ASIC,RTL,Verilog,SystemVerilog
ASM,Oracle RAC,Oracle RMAN,Oracle Data Guard
ASP,Visual Basic,ASP.NET,ADO.NET
ASP.NET,.NET,C#,WCF
ASP.NET+AJAX,WWF,WCF,Telerik
ASP.NET+MVC,Entity Framework,MVC,LINQ
ASTM,RAS,Packaging engineering,Electronic engineering
ATE,LabWindows/CVI,IC,ATPG
ATG,,,
ATG+Commerce,User experience management,MPE,Microsoft Commerce Server
ATL,Windows API,MFC,COM
ATLAS,VFD,RWD,DFP
ATM,Frame Relay,PPP,ADSL
ATO,Information assurance,Certification and accreditation,SCAP
ATP,DO-160,Available-to-promise,Aerospace
ATPG,MBIST,DFT,SDF
ATS,,,
AUC,,,
AUT,SugarCRM,Command Prompt,Gray box testing
AUTOSAR,CANalyzer,CANoe,Automotive
AV,,,
AVC,,,
AVL,ECAD,MCAD,Windchill
AVR,Arduino,Microcontrollers,MCU
AVS,Allen-Bradley,Control engineering,Project finance
AWD,CSC,CCMS,OSSEC
AWE,PeopleSoft AWE,Absence management,PS Query
AWK,SED,Korn shell,Regular expression
AWR,Statspack,TKProf,SQL Trace
AWS+Elastic+Beanstalk,Amazon DynamoDB,Amazon CloudFront,Amazon S3
AWStats,,,
AWT,JFC,Swing,SWT
AX,,,
AXI,SystemVerilog,UVM,VMM
Ab+Initio,EME,GDE,BRE
Abaqus,Finite element,FEA,CAE
Abend%26%2345AID,Fileaid,Xpediter,Panvalet
Ableton+Live,,,
Absence+management,PeopleSoft AWE,AWE,PeopleSoft
Acceptance+testing,Test scripts,Test plans,SIT
Acceptance+testing+management,Acceptance testing,SIT,Application lifecycle management
Access+control,CCTV,Physical security,Security
Accessibility,WCAG,Section 508,NVDA
Account+determination,SD,Invoice verification,SAP COPA
Account+management,Business development,Prospecting,Sales
Account+reconciliation,General journal,Oracle General Ledger,Accounting
Accountability,Budget,Leadership,Project planning
Accounting,GAAP,General journal,Financial statements
Accounting+management,General journal,Accounting,GAAP
Accounting+software,Medicare,ICD-9,Medicaid
Accounts+payable,Accounts receivable,General Ledger,PO
Accounts+receivable,Accounts payable,General Ledger,Oracle Financials
Accounts+receivable+management,Bank Accounting,Asset accounting,GP
AccuRev,AnthillPro,Build automation,Continuous integration
Accurint,,,
Acoustics,Audio,Data acquisition,CAB
Acquisition,,,
Acquisition+management,Logistics management,Cost estimation,Enhanced 9-1-1
Acronis,Ghost,Norton AntiVirus,Sysprep
Acronis+True+Image,,,
Actimize,CDD,RCM,AML
ActionScript,Adobe Flash Builder,Apache Flex,Adobe Flash
Active+Directory,Group policy,Microsoft Windows Server 2003,Microsoft Windows Server
Active+ingredient,,,
Active+learning,Reading comprehension,Active listening,Video game development
Active+listening,Reading comprehension,ConnectWise,Active learning
ActivePython,,,
ActiveReports,IBM Cognos BI,IBM Cognos Framework Manager,Report Studio
ActiveSync,BlackBerry Enterprise Server,Microsoft Exchange,Messaging
ActiveVOS,VOS,Stratus,XQuery
ActiveX,MFC,Visual C++,COM
Activity+diagrams,Sequence diagrams,Use cases,UML
